loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,st_logg,sy_dist
3,11 Com b,11 Com,2,1,Radial Velocity,2007,323.21,4914.89849,15.464,0.238,2.09,2.45,93.1846
6,11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.22,3337.07,10.5,0.08,1.8,1.6,125.321
9,14 And b,14 And,1,1,Radial Velocity,2008,185.84,1525.5,4.8,0.0,2.2,2.63,75.4392
17,14 Her b,14 Her,1,2,Radial Velocity,2002,,1440.663,4.533,0.357,0.9,,17.9323
23,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,565.7374,1.78,0.68,1.08,4.36,21.1397
24,17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1373.01872,4.32,0.06,1.22,1.7,124.953
27,18 Del b,18 Del,2,1,Radial Velocity,2008,,3127.3,9.84,,2.1,,76.222
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,2543.0,8.0,,0.85,,139.135
33,24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,289.2253,0.91,0.042,0.99,2.42,95.9863
34,24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,632.46,1.99,0.09,1.54,3.5,72.0691
35,24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,273.32,0.86,0.29,1.54,3.5,72.0691
36,2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,1271.31363,4.0,,0.17,4.5,128.484
37,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,4131.79,13.0,,0.19,,
39,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,7786.5,24.5,,0.4,,33.8281
40,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,4417.837,13.9,,0.11,4.59,
41,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,2383.6,7.5,,0.02,,
43,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,1271.0,4.0,,0.19,5.03,64.308
45,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,416.0,603.877,1.9,,0.48,,396.332
46,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,3972.875,12.5,,0.6,,69.5737
49,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,4392.4106,13.82,0.29,1.93,4.43,44.657
51,4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,2256.5,7.1,0.432,1.23,1.8,73.4603
52,42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1233.13,3.88,0.38,0.98,1.71,90.6545
57,47 UMa b,47 UMa,1,3,Radial Velocity,1996,1076.6,774.86566,2.438,0.016,1.01,4.33,13.7967
60,47 UMa c,47 UMa,1,3,Radial Velocity,2001,2287.0,157.96072,0.497,0.179,1.01,4.33,13.7967
62,47 UMa d,47 UMa,1,3,Radial Velocity,2009,19000.0,479.92089,1.51,0.38,1.01,4.33,13.7967
65,51 Eri b,51 Eri,3,1,Imaging,2015,,635.66,2.0,,1.75,,29.7575
70,51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,150.009,0.472,0.013,1.03,4.31,15.4614
82,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,14.653,266.9772,0.84,0.02,0.95,,12.5855
90,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,44.38,52.44,0.165,0.07,0.9,4.42,12.5855
100,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,4909.0,1121.89,3.53,0.02,0.9,4.42,12.5855
117,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0.7365445,9.37594,0.0295,0.036,0.97,4.46,12.5855
124,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,261.2,54.664,0.172,0.32,0.9,4.42,12.5855
128,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,934.3,638.8383,2.01,0.073,1.44,3.19,54.6599
130,61 Vir b,61 Vir,1,3,Radial Velocity,2009,4.215,5.1,0.016,0.12,0.94,4.34,8.50332
132,61 Vir c,61 Vir,1,3,Radial Velocity,2009,38.021,18.2,0.057,0.14,0.94,4.34,8.50332
133,61 Vir d,61 Vir,1,3,Radial Velocity,2009,123.01,22.9,0.072,0.35,0.94,4.34,8.50332
136,7 CMa b,7 CMa,1,2,Radial Velocity,2011,735.1,587.9855,1.85,0.06,1.34,3.19,19.8101
137,7 CMa c,7 CMa,1,2,Radial Velocity,2019,996.0,276.5121,0.87,0.08,1.34,3.19,19.8101
143,70 Vir b,70 Vir,1,1,Radial Velocity,1996,116.6926,2351.942,7.4,0.399,1.09,3.9,17.9011
145,75 Cet b,75 Cet,2,2,Radial Velocity,2012,696.62,787.89662,2.479,0.093,1.92,2.69,82.9613
146,75 Cet c,75 Cet,2,2,Radial Velocity,2023,2051.62,289.85951,0.912,0.023,1.92,2.69,82.9613
148,8 UMi b,8 UMi,1,1,Radial Velocity,2015,93.4,476.745,1.5,0.06,1.8,2.57,162.552
151,81 Cet b,81 Cet,1,1,Radial Velocity,2008,1005.57,1051.05854,3.307,0.037,1.23,2.41,101.26
152,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,181.4,1017.0,3.2,0.027,1.4,2.52,44.0304
153,AB Aur b,AB Aur,1,1,Imaging,2022,,2860.45566,9.0,0.4,2.4,,162.127
154,AB Pic b,AB Pic,1,1,Imaging,2005,,4290.5,13.5,,,,50.0475
157,AF Lep b,AF Lep,1,1,Imaging,2023,9060.0,1366.66215,4.3,0.32,1.13,,26.8564
167,AU Mic b,AU Mic,1,3,Transit,2020,8.463,11.7,0.03681,0.04,0.5,4.39,9.7221
173,AU Mic c,AU Mic,1,3,Transit,2021,18.858982,,,0.13,,,9.7221
174,AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,12.73596,1.053,0.00331,0.00305,0.51,4.4,9.7221
175,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,481.9,2034.112,6.4,0.2,1.14,1.89,1070.63
177,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,268.94,467.19,1.47,0.29,0.86,4.6,49.352
178,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,337.21763,1.061,0.001,1.08,2.61,768.045
179,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,137.48,352.78,1.11,0.26,1.1,2.8,426.42
181,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,379.63,17668.1697,55.59,0.15,10.83,1.77,1539.71
182,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,621.99,3963.17,12.47,0.18,2.8,1.51,1539.71
183,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,578.2,1334.886,4.2,0.21,0.8,1.99,1322.51
186,BD+20 594 b,BD+20 594,1,1,Transit,2016,41.6855,22.2481,0.07,0.0,1.67,4.5,179.461
187,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,307.88,432.24663,1.36,0.12,0.81,4.22,53.622
188,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,392.6,289.2253,0.91,0.2,0.74,2.24,871.493
189,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,733.0,540.311,1.7,0.76,1.09,2.48,666.589
190,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,2590.0,508.5,1.6,0.35,1.52,2.85,442.042
191,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,265.59,228.83645,0.72,0.27,0.91,4.09,52.5697
192,BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,,4767.4261,15.0,,1.0,4.55,44.9543
194,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,1230.0,3305.41543,10.4,0.891,0.82,4.2,38.0473
195,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,723.2,7961.6016,25.05,0.39,0.81,4.25,42.6402
196,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,3.8728,8.5,0.027,0.0,0.7,4.74,20.2695
197,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,125.94,53.0,0.17,0.31,0.7,4.74,20.2695
199,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,5.6,14.4,0.045,0.15,0.74,4.13,41.3342
200,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,237.6,104.0,0.33,0.19,0.74,4.13,41.3342
204,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,3.487905,142.70495,0.449,0.022,1.0,4.46,84.4069
206,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,1667.0,168.44,0.53,0.05,0.57,4.1,27.1665
207,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,74.2,15.37,0.04836,0.4,0.65,4.64,27.1665
209,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,714.29999,3108.3774,9.78,0.21,2.12,2.2,925.214
211,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,655.59998,905.8155,2.85,0.54,0.31,4.19,34.4603
212,BD-210397 b,BD-210397,1,2,Radial Velocity,2023,1891.0,214.0,0.7,0.1,0.68,4.67,23.7324
214,BD-210397 c,BD-210397,1,2,Radial Velocity,2023,6360.0,759.0,2.4,0.1,0.68,4.67,23.7324
215,CD Cet b,CD Cet,1,1,Radial Velocity,2020,2.2907,3.95,0.01243,,0.16,4.93,8.60715
216,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10037.5,3337.1,10.5,,0.02,4.72,
217,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,8040000.0,2479.06157,7.8,,0.01,3.85,
218,CHXR 73 b,CHXR 73,1,1,Imaging,2006,,3994.486,12.569,,0.35,,190.374
219,CI Tau b,CI Tau,1,1,Radial Velocity,2019,8.9891,3686.828,11.6,0.25,0.9,,157.998
220,COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,402000000.0,2002.31896,6.3,,0.37,4.83,10.8864
221,CT Cha b,CT Cha,1,1,Imaging,2007,,5403.0,17.0,,,,190.72
228,CoRoT-1 b,CoRoT-1,1,1,Transit,2008,1.5089682,390.9309,1.23,0.036,1.22,,787.909
231,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,13.2406,883.5674,2.78,,0.9,4.65,338.386
236,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,743.7222,2.34,,1.26,4.26,655.037
242,CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,281.91521,0.887,,1.02,4.41,1126.37
247,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,423.03173,1.331,0.067,1.09,,1148.93
250,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,2415.4,7.6,0.0,1.13,4.35,1744.6
252,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,170.032,0.535,0.33,1.1,4.36,732.409
255,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,781.8618,2.46,,1.04,4.04,1176.12
261,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,1039.3041,3.27,,0.86,4.44,764.889
266,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89712026,,,,,4.09,790.663
277,CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.742997,,,,,4.42,213.283
283,CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,1608.2198,5.06,,1.11,4.23,844.061
284,CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.0,5403.11,17.0,0.6,1.14,,844.061
286,CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,718.2958,2.26,0.0,1.29,3.7,
287,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,12.2,0.038,0.077,1.1,4.36,627.158
290,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,889.9,2.8,0.16,1.14,4.3,1060.97
291,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,5.7,0.018,0.0,0.91,4.55,591.555
292,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,28.0,0.088,0.0,0.91,4.55,591.555
294,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,85.81,0.27,0.0,1.09,4.31,1103.48
296,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,165.26,0.52,0.0,1.09,3.99,1045.18
298,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,3302.11,10.39,0.065,1.05,4.4,1010.28
300,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,152.87623,0.481,0.071,1.01,,766.183
303,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,270.1555,0.85,0.082,0.97,4.3,806.507
308,CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2567994,6814.2752,21.44,0.016,1.37,,768.771
309,CoRoT-30 b,CoRoT-30,1,1,Transit,2020,9.06005,921.707,2.9,0.007,0.98,4.4,1032.23
310,CoRoT-31 b,CoRoT-31,1,1,Transit,2020,4.62941,266.9772,0.84,0.02,1.25,3.85,2005.76
311,CoRoT-35 b,CoRoT-35,1,1,Transit,2022,3.22748,349.61125,1.1,0.0,1.01,4.01,1123.21
312,CoRoT-36 b,CoRoT-36,1,1,Transit,2022,5.616531,216.12332,0.68,0.0,1.32,4.16,925.958
316,CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,232.33373,0.731,,1.19,4.4,726.412
322,CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.03790124,,,,,4.29,882.472
326,CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.8866287,,,,,,645.294
334,CoRoT-7 b,CoRoT-7,1,3,Transit,2009,0.853585,21.0,0.066,,0.93,4.5,159.906
337,CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,3.7,13.56,0.043,0.12,0.9,4.52,159.906
338,CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,8.966,17.142,0.05393,,0.92,,159.906
342,CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.212445,69.28694,0.218,,0.89,4.58,322.037
347,CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,266.9772,0.84,0.133,0.96,4.54,412.98
349,CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,6.71837,47.6745,0.15,,1.08,4.67,576.683
350,DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,4098.1,3823.2733,12.0293,0.0,0.51,,30.5225
351,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36,9057.77,28.5,0.345,0.07,,
353,DH Tau b,DH Tau,1,1,Imaging,2004,,3496.13,11.0,,0.68,4.0,134.846
354,DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,18.57,24.27,0.07636,0.083,1.21,4.41,62.5388
355,DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,6.584,9.6,0.0302,0.057,1.21,4.41,62.5388
356,DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.882,3.35,0.01054,0.07,1.21,4.41,62.5388
357,DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,5.516,4.13,0.01299,0.07,1.21,4.41,62.5388
358,DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,5.2072,138.89171,0.437,0.078,1.44,4.1,137.94
360,DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,6.6736,2.58,0.00812,0.0,,,45.23
361,DMPP-4 b,DMPP-4,1,1,Radial Velocity,2023,3.4982,12.2,0.03839,0.063,1.25,4.24,25.3284
363,DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,10220.0,1922.79,6.05,0.39,0.69,,305.684
366,DS Tuc A b,DS Tuc A,2,1,Transit,2019,8.13822434,,,,,4.44,44.0622
367,EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,6.7987,,,0.0,0.29,5.0,
369,EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,28.1696,,,,,,159.259
370,EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,0.72091,,,,,4.4,706.391
371,EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,2.13174,,,,0.78,,253.026
374,EPIC 201595106 b,EPIC 201595106,1,1,Transit,2021,0.87703,,,,1.02,4.45,232.1
375,EPIC 201615463 c,K2-166,1,2,Transit,2019,3.80464,,,,1.07,,476.882
376,EPIC 201754305 d,K2-16,1,3,Transit,2019,2.71578,,,,0.67,,334.967
377,EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,2.0478,,,0.0,0.73,4.66,
379,EPIC 201833600 c,K2-50,1,2,Transit,2019,3.96151,,,,0.61,,257.443
382,EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,4.16959,,,,0.8,,436.488
385,EPIC 205950854 c,K2-168,1,2,Transit,2019,8.0468,,,,0.91,,243.935
387,EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,4.50717,,,,,,369.888
390,EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,0.911618,,,,,,369.888
394,EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,14.641541,,,,,,369.888
395,EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,2.87814,,,,0.22,,161.365
398,EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,5.29711,,,,0.56,,451.769
400,EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,0.354884,,,,,4.8,451.769
403,EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,2.25372,,,,0.41,,109.888
405,EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,1.58316,,,,,,314.35
408,EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,17.5125,,,,,,314.35
414,EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,21.1701963,,,,0.62,4.7,186.197
423,EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,19.50735025,,,,1.16,4.23,181.69
426,EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,2.28943,,,,0.83,,418.395
429,EPIC 212297394 c,EPIC 212297394,1,2,Transit,2016,5.213965,,,,0.83,4.55,418.395
431,EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,18.0971,,,,,,611.804
432,EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,34.885,,,,0.91,,283.29
435,EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,15.2841,,,,,,320.07
441,EPIC 212587672 c,EPIC 212587672,1,2,Transit,2016,23.226001,,,,,4.49,320.07
442,EPIC 212624936 b,EPIC 212624936,1,2,Transit,2021,0.578657,,,,,4.4,561.929
444,EPIC 212624936 c,EPIC 212624936,1,2,Transit,2021,11.81387,,,,,,561.929
447,EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,13.603,,,0.2,0.69,4.62,336.25
448,EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,65.55,,,0.2,0.69,4.62,336.25
449,EPIC 220492298 b,EPIC 220492298,1,1,Transit,2021,0.762406,,,,,4.5,624.512
452,EPIC 220554210 c,K2-282,1,2,Transit,2019,0.70531,,,,0.94,,496.289
462,EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,0.571336,9.0,0.02832,,0.92,4.42,244.59
471,EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,13.33877,,,,,,244.59
473,EPIC 228836835 b,EPIC 228836835,1,1,Transit,2021,0.728113,,,,,5.0,150.124
476,EPIC 229004835 b,EPIC 229004835,1,1,Transit,2023,16.140442,,,,,4.4,121.971
478,EPIC 246851721 b,EPIC 246851721,2,1,Transit,2018,6.1802675,,,,,4.08,372.632
479,EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,3650.0,4131.79,13.0,0.0,0.9,3.52,551.886
480,EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,3.5951,8.75,0.02753,0.06,1.05,3.99,321.296
481,EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,15.624,14.67,0.04616,0.07,1.05,3.99,321.296
482,EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,35.747,10.18,0.03203,0.15,1.05,3.99,321.296
483,FU Tau b,FU Tau,1,1,Imaging,2008,,5085.28,16.0,,0.05,,
484,G 264-012 b,G 264-012,1,2,Radial Velocity,2021,2.30538,2.5,0.00787,,0.3,4.85,16.009
485,G 264-012 c,G 264-012,1,2,Radial Velocity,2021,8.0518,3.75,0.0118,,0.3,4.85,16.009
488,G 9-40 b,G 9-40,1,1,Transit,2019,5.745912,,,,,4.94,27.9276
489,GJ 1002 b,GJ 1002,1,2,Radial Velocity,2022,10.3465,1.08,0.0034,,0.12,5.1,4.84867
490,GJ 1002 c,GJ 1002,1,2,Radial Velocity,2022,21.202,1.36,0.00428,,0.12,5.1,4.84867
491,GJ 1061 b,GJ 1061,1,3,Radial Velocity,2020,3.204,1.37,0.00431,0.31,0.12,,3.67278
492,GJ 1061 c,GJ 1061,1,3,Radial Velocity,2020,6.689,1.74,0.00547,0.29,0.12,,3.67278
493,GJ 1061 d,GJ 1061,1,3,Radial Velocity,2020,13.031,1.64,0.00516,0.53,0.12,,3.67278
498,GJ 1132 b,GJ 1132,1,2,Transit,2015,1.6289322,,,,,4.86,12.613
499,GJ 1132 c,GJ 1132,1,2,Radial Velocity,2018,8.929,2.64,0.00831,0.27,0.18,,12.613
502,GJ 1148 b,GJ 1148,1,2,Radial Velocity,2010,41.38,96.7,0.30425,0.38,0.34,4.87,11.0143
504,GJ 1148 c,GJ 1148,1,2,Radial Velocity,2017,535.9,82.63539,0.26,0.27,0.37,4.88,11.0143
505,GJ 1151 c,GJ 1151,1,1,Radial Velocity,2023,389.7,10.62,0.03341,,0.16,5.09,8.03625
521,GJ 1214 b,GJ 1214,1,1,Transit,2009,1.58040454,,,,0.16,4.99,14.6427
526,GJ 1252 b,GJ 1252,1,1,Transit,2020,0.5182349,2.09,0.00658,0.0,0.38,,20.373
527,GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018,3.6511,7.4,0.02328,0.04,0.18,5.09,10.2525
530,GJ 143 b,GJ 143,1,2,Transit,2019,35.589,30.63,0.09637,0.325,0.76,,16.32
533,GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,11.4407,3.03,0.00953,0.094,0.38,4.87,3.56228
534,GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,7600.0,36.0,0.11327,0.27,0.38,4.87,3.56228
535,GJ 160.2 b,GJ 160.2,1,1,Radial Velocity,2014,5.2354,10.2,0.03209,0.06,0.69,,25.8557
536,GJ 163 b,GJ 163,1,3,Radial Velocity,2013,8.63182,10.6,0.03335,0.073,,,15.1285
537,GJ 163 c,GJ 163,1,3,Radial Velocity,2013,25.63058,6.8,0.0214,0.099,,,15.1285
538,GJ 163 d,GJ 163,1,3,Radial Velocity,2013,603.95116,29.4,0.0925,0.373,,,15.1285
541,GJ 179 b,GJ 179,1,1,Radial Velocity,2009,2303.0,301.93699,0.95,0.179,0.36,4.83,12.356
543,GJ 180 b,GJ 180,1,3,Radial Velocity,2014,17.133,6.49,0.02042,0.07,0.43,,11.9407
544,GJ 180 c,GJ 180,1,3,Radial Velocity,2014,24.329,6.4,0.02014,0.09,0.43,,11.9407
545,GJ 180 d,GJ 180,1,3,Radial Velocity,2020,106.3,7.56,0.02379,0.14,0.43,,11.9407
546,GJ 2030 b,GJ 2030,1,2,Radial Velocity,2022,2.38129,4.76743,0.015,0.239,0.96,,37.0788
547,GJ 2030 c,GJ 2030,1,2,Radial Velocity,2022,25533.11353,4069.15709,12.803,0.041,0.96,,37.0788
548,GJ 2056 b,GJ 2056,1,1,Radial Velocity,2020,69.971,16.2,0.05097,0.72,0.62,,28.4434
550,GJ 229 A c,GJ 229,2,2,Radial Velocity,2020,121.995,7.268,0.02287,0.19,0.58,,5.75624
553,GJ 229 b,GJ 229,2,2,Radial Velocity,2014,579.47495,14.93794,0.047,0.404,0.51,,5.75624
554,GJ 251 b,GJ 251,1,1,Radial Velocity,2020,14.238,4.0,0.01259,0.1,0.36,4.96,5.58057
555,GJ 27.1 b,GJ 27.1,1,1,Radial Velocity,2014,15.819,13.0,0.0409,0.08,0.53,,23.6062
556,GJ 273 b,GJ 273,1,2,Radial Velocity,2017,18.6498,2.89,0.00909,0.1,0.29,,5.921535
557,GJ 273 c,GJ 273,1,2,Radial Velocity,2017,4.7234,1.18,0.00371,0.17,0.29,,5.921535
558,GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,133.71,1071.04,3.37,0.511,0.9,4.7,17.5559
559,GJ 3082 b,GJ 3082,1,1,Radial Velocity,2020,11.949,8.2,0.0258,0.22,0.47,,16.6186
561,GJ 3090 b,GJ 3090,1,1,Transit,2022,2.8531016,,,,,4.76,22.4751
562,GJ 3138 b,GJ 3138,1,3,Radial Velocity,2017,1.22003,1.78,0.0056,0.19,0.68,,28.4712
563,GJ 3138 c,GJ 3138,1,3,Radial Velocity,2017,5.974,4.18,0.01315,0.11,0.68,,28.4712
564,GJ 3138 d,GJ 3138,1,3,Radial Velocity,2017,257.8,10.5,0.03304,0.32,0.68,,28.4712
568,GJ 317 b,GJ 317,1,2,Radial Velocity,2007,692.9,381.4,1.2,0.193,0.26,,15.1968
572,GJ 317 c,GJ 317,1,2,Radial Velocity,2018,6739.323,522.5,1.64396,0.17,0.42,,15.1968
573,GJ 3222 b,GJ 3222,2,1,Radial Velocity,2022,10.66669,11.44182,0.036,0.929,0.89,,18.23817
575,GJ 328 b,GJ 328,1,2,Radial Velocity,2013,3771.0,797.7493,2.51,0.227,0.65,4.64,20.5266
576,GJ 328 c,GJ 328,1,2,Radial Velocity,2023,241.8,21.4,0.06733,,0.65,4.64,20.5266
578,GJ 3293 b,GJ 3293,1,4,Radial Velocity,2015,30.5987,23.54,0.07406,0.06,0.42,,20.1903
580,GJ 3293 c,GJ 3293,1,4,Radial Velocity,2015,122.6196,21.09,0.06636,0.11,0.42,,20.1903
581,GJ 3293 d,GJ 3293,1,4,Radial Velocity,2017,48.1345,7.6,0.02391,0.12,0.42,,20.1903
582,GJ 3293 e,GJ 3293,1,4,Radial Velocity,2017,13.2543,3.28,0.01032,0.21,0.42,,20.1903
583,GJ 3323 b,GJ 3323,1,2,Radial Velocity,2017,5.3636,2.02,0.00636,0.23,0.16,,5.37484
584,GJ 3323 c,GJ 3323,1,2,Radial Velocity,2017,40.54,2.31,0.00727,0.17,0.16,,5.37484
585,GJ 3341 b,GJ 3341,1,1,Radial Velocity,2015,14.207,6.6,0.0208,0.31,0.47,,23.619
587,GJ 338 B b,GJ 338 B,2,1,Radial Velocity,2020,24.422,10.6,0.03335,0.109,0.64,4.68,6.33256
597,GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,3.33714,14.0,0.044,0.051,0.54,,29.4214
599,GJ 3473 b,GJ 3473,2,2,Transit,2020,1.1980035,1.86,0.00585,0.0,0.36,4.81,27.3644
600,GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,15.509,7.41,0.02331,0.0,0.36,4.81,27.3644
602,GJ 3512 b,GJ 3512,1,2,Radial Velocity,2019,203.59,147.15529,0.463,0.4356,0.12,,9.48637
603,GJ 3512 c,GJ 3512,1,2,Radial Velocity,2020,1599.6,63.56568,0.2,0.0183,0.12,,9.48637
606,GJ 357 b,GJ 357,1,3,Transit,2019,3.93072,1.84,0.00579,,0.34,4.94,9.44181
607,GJ 357 c,GJ 357,1,3,Radial Velocity,2019,9.1247,3.4,0.0107,,0.34,4.94,9.44181
