loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,st_logg,sy_dist
18621,Kepler-219 b,Kepler-219,1,3,Transit,2014,4.58546694,,,,1.03,4.24,787.07
18633,Kepler-219 c,Kepler-219,1,3,Transit,2014,,,,,,,787.07
18645,Kepler-219 d,Kepler-219,1,3,Transit,2014,47.9035211,,,,1.16,4.19,787.07
18656,Kepler-22 b,Kepler-22,1,1,Transit,2011,289.86387644,,,,0.99,4.57,194.642
18668,Kepler-220 b,Kepler-220,1,4,Transit,2014,4.15981655,,,0.0,0.64,4.63,171.109
18680,Kepler-220 c,Kepler-220,1,4,Transit,2014,,,,,0.72,,171.109
18692,Kepler-220 d,Kepler-220,1,4,Transit,2014,28.1224393,,,,0.7,4.51,171.109
18704,Kepler-220 e,Kepler-220,1,4,Transit,2014,45.9029768,,,0.0,0.64,4.63,171.109
18716,Kepler-221 b,Kepler-221,1,4,Transit,2014,2.79589407,,,0.0,0.72,4.54,385.231
18728,Kepler-221 c,Kepler-221,1,4,Transit,2014,5.69058452,,,0.0,0.72,4.54,385.231
18739,Kepler-221 d,Kepler-221,1,4,Transit,2014,10.04156852,,,0.0,0.72,4.54,385.231
18750,Kepler-221 e,Kepler-221,1,4,Transit,2014,18.369917,,,,,4.54,385.231
18761,Kepler-222 b,Kepler-222,1,3,Transit,2014,3.93699371,,,0.0,0.94,4.56,758.854
18772,Kepler-222 c,Kepler-222,1,3,Transit,2014,10.08880336,,,,0.87,4.52,758.854
18783,Kepler-222 d,Kepler-222,1,3,Transit,2014,28.08194365,,,0.0,0.94,4.56,758.854
18795,Kepler-223 b,Kepler-223,1,4,Transit,2014,7.385,4.0,0.01259,,1.1,,1859.71
18808,Kepler-223 c,Kepler-223,1,4,Transit,2014,9.848183,,,,,4.4,1859.71
18820,Kepler-223 d,Kepler-223,1,4,Transit,2014,14.78767172,,,0.0,1.05,4.27,1859.71
18832,Kepler-223 e,Kepler-223,1,4,Transit,2014,19.72134,,,0.0,0.95,4.39,1859.71
18842,Kepler-224 b,Kepler-224,1,4,Transit,2014,3.13295163,,,,0.78,4.62,782.088
18853,Kepler-224 c,Kepler-224,1,4,Transit,2014,5.925016,,,0.0,0.82,4.64,782.088
18864,Kepler-224 d,Kepler-224,1,4,Transit,2014,11.34933733,,,0.0,0.77,4.63,782.088
18875,Kepler-224 e,Kepler-224,1,4,Transit,2014,18.643516,,,0.0,0.77,4.63,782.088
18888,Kepler-225 b,Kepler-225,1,2,Transit,2014,6.73893995,,,0.0,0.46,4.81,561.101
18902,Kepler-225 c,Kepler-225,1,2,Transit,2014,18.79418506,,,,0.65,4.47,561.101
